"id","name","district","province_id","county_id","sector_id","city_id","code","short_code"
"5","آبادان 1","1","13","1","757","4","0601021687","1687"
"6","آبادان 2","2","13","1","757","4","0601021688","1688"
"7","آبادان 3","3","13","1","757","4","0601022855","2855"
"62","اراک 1","1","28","19","977","61","001021678","1678"
"63","اراک 2","5","28","19","977","61","001021679","1679"
"64","اراک 3","3","28","19","977","61","001021680","1680"
"65","اراک 4","4","28","19","977","61","001022858","2858"
"66","اراک 5","5","28","19","977","61","001022859","2859"
"72","اردبیل 1","1","3","20","584","71","2401011662","1662"
"73","اردبیل 2","2","3","20","584","71","2401011663","1663"
"74","اردبیل 3","3","3","20","584","71","2401012575","2575"
"75","اردبیل 4","4","3","20","584","71","2401012852","2852"
"76","اردبیل 5","5","3","20","584","71","2401012873","2873"
"89","ارومیه  5","5","2","26","656","88","0401042853","2853"
"90","ارومیه 1","1","2","26","656","88","0401042528","2528"
"91","ارومیه 2","2","2","26","656","88","0401042529","2529"
"92","ارومیه 3","3","2","26","656","88","0401042530","2530"
"93","ارومیه 4","4","2","26","656","88","0401042531","2531"
"111","اسلام شهر 1","1","8","33","683","114","2310022289","2289"
"112","اسلام شهر 2","2","8","33","683","114","2310022290","2290"
"113","اسلام شهر 3","3","8","33","683","114","2310022560","2560"
"125","اصفهان 1","1","4","37","596","124","1002031633","1633"
"126","اصفهان 10","10","4","37","596","124","1002031642","1642"
"127","اصفهان 11","11","4","37","596","124","1002032554","2554"
"128","اصفهان 12","12","4","37","596","124","1002032001","2001"
"129","اصفهان 13","13","4","37","596","124","1002032002","2002"
"130","اصفهان 14","14","4","37","596","124","1002032089","2089"
"131","اصفهان 15","15","4","37","596","124","1002031407","1407"
"132","اصفهان 2","2","4","37","596","124","1002031634","1634"
"133","اصفهان 3","3","4","37","596","124","1002031635","1635"
"134","اصفهان 4","4","4","37","596","124","1002031636","1636"
"135","اصفهان 5","5","4","37","596","124","1002031637","1637"
"136","اصفهان 6","6","4","37","596","124","1002031638","1638"
"137","اصفهان 7","7","4","37","596","124","1002031639","1639"
"138","اصفهان 8","8","4","37","596","124","1002031640","1640"
"139","اصفهان 9","9","4","37","596","124","1002031641","1641"
"174","اهواز 1","1","13","49","755","173","0603021625","1625"
"175","اهواز 2","2","13","49","755","173","0603021626","1626"
"176","اهواز 3","3","13","49","755","173","0603021684","1684"
"177","اهواز 4","4","13","49","755","173","0603021685","1685"
"178","اهواز 5","5","13","49","755","173","0603021686","1686"
"179","اهواز 6","6","13","49","755","173","0603022668","2668"
"180","اهواز 7","7","13","49","755","173","0603022669","2669"
"181","اهواز 8","8","13","49","755","173","0603022670","2670"
"201","بابل 1","1","27","55","956","200","0202022743","2743"
"202","بابل 2","2","27","55","956","200","0202022744","2744"
"232","بجنورد 1","1","12","65","745","231","2802042699","2699"
"233","بجنورد 2","2","12","65","745","231","2802042700","2700"
"248","بروجرد 1","1","26","71","947","247","1502022688","2688"
"249","بروجرد 2","2","26","71","947","247","1502022689","2689"
"276","بندرانزلی 1","1","25","81","932","275","0103012538","2538"
"277","بندرانزلی 2","2","25","81","932","275","0103012539","2539"
"284","بندرعباس 1","1","29","82","992","283","2202041697","1697"
"285","بندرعباس 2","2","29","82","992","283","2202041698","1698"
"286","بندرعباس 3","3","29","82","992","283","2202042091","2091"
"298","بوشهر 1","1","7","88","673","297","1801022692","2692"
"299","بوشهر 2","2","7","88","673","297","1801022693","2693"
"324","بیرجند 1","1","10","99","707","323","2901042701","2701"
"325","بیرجند 2","2","10","99","707","323","2901042702","2702"
"367","تبریز 10","10","1","115","640","366","0303032072","2072"
"368","تبریز 9","9","1","115","640","366","0303032071","2071"
"369","تبریز 1","1","1","115","640","366","0303031621","1621"
"370","تبریز 2","2","1","115","640","366","0303031622","1622"
"371","تبریز 3","3","1","115","640","366","0303031623","1623"
"372","تبریز 4","4","1","115","640","366","0303031624","1624"
"373","تبریز 5","5","1","115","640","366","0303031651","1651"
"374","تبریز 6","6","1","115","640","366","0303031652","1652"
"375","تبریز 7","7","1","115","640","366","0303031653","1653"
"376","تبریز 8","8","1","115","640","366","0303032521","2521"
"400","تهران 1","1","8","126","686","399","2301021601","1601"
"401","تهران 10","10","8","126","686","399","2301021610","1610"
"402","تهران 11","11","8","126","686","399","2301021611","1611"
"403","تهران 12","12","8","126","686","399","2301021612","1612"
"404","تهران 13","13","8","126","686","399","2301021613","1613"
"405","تهران 14","14","8","126","686","399","2301021614","1614"
"406","تهران 15","15","8","126","686","399","2301021615","1615"
"407","تهران 16","16","8","126","686","399","2301021616","1616"
"408","تهران 17","17","8","126","686","399","2301021617","1617"
"409","تهران 18","18","8","126","686","399","2301021618","1618"
"410","تهران 19","19","8","126","686","399","2301021619","1619"
"411","تهران 2","2","8","126","686","399","2301021602","1602"
"412","تهران 20","20","8","126","686","399","2301021620","1620"
"413","تهران 21","21","8","126","686","399","2301022225","2225"
"414","تهران 22","22","8","126","686","399","2301022226","2226"
"415","تهران 3","3","8","126","686","399","2301021603","1603"
"416","تهران 4","4","8","126","686","399","2301021604","1604"
"417","تهران 5","5","8","126","686","399","2301021605","1605"
"418","تهران 6","6","8","126","686","399","2301021606","1606"
"419","تهران 7","7","8","126","686","399","2301021607","1607"
"420","تهران 8","8","8","126","686","399","2301021608","1608"
"421","تهران 9","9","8","126","686","399","2301021609","1609"
"540","خرم آباد 1","1","26","157","949","538","1503062685","2685"
"541","خرم آباد 2","2","26","157","949","538","1503062686","2686"
"542","خرم آباد 3","3","26","157","949","538","1503062687","2687"
"607","دزفول  3","3","13","183","765","606","0608022865","2865"
"608","دزفول 1","1","13","183","765","606","0608021689","1689"
"609","دزفول 2","5","13","183","765","606","0608021690","1690"
"680","رشت 1","1","25","211","933","679","0105051654","1654"
"681","رشت 2","2","25","211","933","679","0105051655","1655"
"682","رشت 3","3","25","211","933","679","0105051656","1656"
"683","رشت 4","4","25","211","933","679","0105052098","2098"
"684","رشت 5","5","25","211","933","679","0105052099","2099"
"720","زاهدان 1","1","16","225","803","719","1105011681","1681"
"721","زاهدان 2","2","16","225","803","719","1105011682","1682"
"722","زاهدان 3","3","16","225","803","719","1105011683","1683"
"723","زاهدان 4","4","16","225","803","719","1105012862","2862"
"724","زاهدان 5","5","16","225","803","719","1105012863","2863"
"739","زنجان 1","4","14","230","783","738","1904051664","1664"
"740","زنجان 2","2","14","230","783","738","1904051665","1665"
"741","زنجان 3","3","14","230","783","738","1904052384","2384"
"742","زنجان 4","4","14","230","783","738","1904052958","2958"
"762","ساری 1","4","27","233","963","761","0207032740","2740"
"763","ساری 2","2","27","233","963","761","0207032741","2741"
"764","ساری 3","3","27","233","963","761","0207032742","2742"
"769","ساوه 1","1","28","236","984","768","006032860","2860"
"770","ساوه 2","2","28","236","984","768","006032861","2861"
"772","سبزوار 1","1","11","237","731","771","0908072677","2677"
"773","سبزوار 2","2","11","237","731","771","0908072678","2678"
"837","سنندج 1","1","20","259","866","836","1204031672","1672"
"838","سنندج 2","2","20","259","866","836","1204031673","1673"
"839","سنندج 3","3","20","259","866","836","1204031674","1674"
"860","سیرجان 1","1","21","264","881","859","0806012675","2675"
"861","سیرجان 2","2","21","264","881","859","0806012676","2676"
"924","شهریار 1","1","8","282","690","923","2309022694","2694"
"925","شهریار 2","2","8","282","690","923","2309022695","2695"
"926","شهریار 3","3","8","282","690","923","2309022696","2696"
"931","شیراز 10","10","17","283","838","930","0707052864","2864"
"932","شیراز 9","9","17","283","838","930","0707052738","2738"
"933","شیراز 1","1","17","283","838","930","0707051627","2627"
"934","شیراز 2","2","17","283","838","930","0707051628","1628"
"935","شیراز 3","3","17","283","838","930","0707051693","1693"
"936","شیراز 4","4","17","283","838","930","0707051694","1694"
"937","شیراز 5","5","17","283","838","930","0707051695","1695"
"938","شیراز 6","6","17","283","838","930","0707051696","1696"
"939","شیراز 7","7","17","283","838","930","0707052532","2532"
"940","شیراز 8","8","17","283","838","930","0707052533","2533"
"1018","فردیس 1","1","5","304","622","1354","3006012282","2282"
"1019","فردیس 2","2","5","304","622","1354","3006012540","2540"
"1061","قزوین 1","1","18","322","858","1060","2603052291","2291"
"1062","قزوین 2","2","18","322","858","1060","2603052292","2292"
"1063","قزوین 3","3","18","322","858","1060","2603052520","2520"
"1064","قزوین 4","4","18","322","858","1060","2603052703","2703"
"1082","قم 1","1","19","327","859","1081","2501032221","2221"
"1083","قم 2","2","19","327","859","1081","2501032222","2222"
"1084","قم 3","3","19","327","859","1081","2501032223","2223"
"1085","قم 4","4","19","327","859","1081","2501032224","2224"
"1086","قم 5","5","19","327","859","1081","2501032096","2096"
"1087","قم 6","6","19","327","859","1081","2501032097","2097"
"1088","قم 7","7","19","327","859","1081","2501032810","2810"
"1089","قم 8","8","19","327","859","1081","2501032811","2811"
"1123","کرج 1","1","5","336","623","1122","3001012280","2280"
"1124","کرج 10","10","5","336","623","1122","3001012766","2766"
"1125","کرج 2","2","5","336","623","1122","3001012281","2281"
"1126","کرج 3","3","5","336","623","1122","3001012767","2767"
"1127","کرج 4","4","5","336","623","1122","3001012283","2283"
"1128","کرج 5","5","5","336","623","1122","3001012284","2284"
"1129","کرج 6","6","5","336","623","1122","3001012285","2285"
"1130","کرج 7","7","5","336","623","1122","3001012286","2286"
"1131","کرج 8","8","5","336","623","1122","3001012287","2287"
"1132","کرج 9","9","5","336","623","1122","3001012288","2288"
"1138","کرمان 1","1","21","338","887","1137","0808051675","1675"
"1139","کرمان 2","2","21","338","887","1137","0808051676","1676"
"1140","کرمان 3","3","21","338","887","1137","0808051677","1677"
"1141","کرمان 4","4","21","338","887","1137","0808052534","2534"
"1143","کرمانشاه 1","1","22","339","911","1142","0502041666","1666"
"1144","کرمانشاه 2","2","22","339","911","1142","0502041667","1667"
"1145","کرمانشاه 3","3","22","339","911","1142","0502041668","1668"
"1146","کرمانشاه 4","4","22","339","911","1142","0502041669","1669"
"1147","کرمانشاه 5","5","22","339","911","1142","0502041670","1670"
"1148","کرمانشاه 6","6","22","339","911","1142","0502041671","1671"
"1149","کرمانشاه 7","7","22","339","911","1142","0502042856","2856"
"1150","کرمانشاه 8","8","22","339","911","1142","0502042857","2857"
"1219","گرگان 1","1","24","362","924","1218","2705022697","2697"
"1220","گرگان 2","2","24","362","924","1218","2705022698","2698"
"1221","گرگان 3","3","24","362","924","1218","2705022866","2866"
"1330","مراغه 1","1","1","389","648","1329","0306021649","1649"
"1331","مراغه 2","2","1","389","648","1329","0306021650","1650"
"1348","مسجدسلیمان 1","1","13","394","775","1347","0613032671","2671"
"1349","مسجدسلیمان 2","2","13","394","775","1347","0613032672","2672"
"1357","مشهد 12","12","11","396","741","1356","0916052000","2000"
"1359","مشهد 1","1","11","396","741","1356","0916051629","1629"
"1360","مشهد 10","10","11","396","741","1356","0916051648","1648"
"1361","مشهد 11","11","11","396","741","1356","0916052524","2524"
"1362","مشهد 2","2","11","396","741","1356","0916051630","1630"
"1363","مشهد 3","3","11","396","741","1356","0916051631","1631"
"1364","مشهد 4","4","11","396","741","1356","0916051632","1632"
"1365","مشهد 5","5","11","396","741","1356","0916051643","1643"
"1366","مشهد 6","6","11","396","741","1356","0916051644","1644"
"1367","مشهد 7","7","11","396","741","1356","0916051645","1645"
"1368","مشهد 8","8","11","396","741","1356","0916051646","1646"
"1369","مشهد 9","9","11","396","741","1356","0916051647","1647"
"1482","نیشابور 1","1","11","432","743","1481","0917042786","2786"
"1483","نیشابور 2","2","11","432","743","1481","0917042787","2787"
"1529","همدان 1","1","30","443","1011","1528","1304071691","1697"
"1530","همدان 2","2","30","443","1011","1528","1304071692","1692"
"1531","همدان 3","3","30","443","1011","1528","1304072522","2522"
"1532","همدان 4","4","30","443","1011","1528","1304072523","2523"
"1548","یزد 1","1","31","448","1021","1547","2105031657","1657"
"1549","یزد 2","2","31","448","1021","1547","2105031658","1658"
"1550","یزد 3","3","31","448","1021","1547","2105032525","2525"
